"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g186",1121.19718279253,0.609030770369321,0.648228389224222,0.939531159840421,0.347458101754155,0.523078761098536
"g187",21.1641998867845,2.81685505001318,0.941229846088892,2.9927387680258,0.00276486297935281,0.0184075969786688
"g188",0.950455491487998,3.29604811023646,2.37056909796141,1.39040372755678,0.164406315195475,0.322940976276827
"g189",2104.16479153314,0.34196204232621,0.646756702344724,0.528733666132064,0.596990219409737,0.739644234277166
"g190",2253.94334578756,-0.675731576153485,0.646686249517716,-1.04491409343778,0.296062675480747,0.475113842614993
"g191",5513.15661686242,0.401241981273504,0.645793707967193,0.621316027584907,0.53439171022236,0.685941268779055
"g192",0,NA,NA,NA,NA,NA
"g193",0,NA,NA,NA,NA,NA
"g194",89.6055789961363,-0.792979174971738,0.682429469652279,-1.16199433089516,0.245237767722032,0.419911838127819
"g195",281.513084091524,-0.483651034805942,0.656788390135028,-0.73638791743336,0.461494655639491,0.629784060139606
"g196",14.8845675624931,3.07577222236066,1.08829824056879,2.82622180915513,0.00471006364115749,0.0270530554072811
"g197",36.7427634441569,0.325451603511312,0.729258532129971,0.44627740255675,0.655396877360537,0.782918246999822
"g198",3.80182196595199,5.29604100967454,2.19979505496391,2.40751564457054,0.0160614740316819,0.0650735051411106
"g199",5932.31110206816,-0.0427831068304947,0.64573647853386,-0.0662547467159258,0.947175010906993,0.967974462160019
"g200",1194.45710016403,0.43086737336041,0.647972334697821,0.66494717488416,0.506084280897954,0.664934951991296
"g201",21.5531809928055,-0.213730744840119,0.781020773085389,-0.273655646822023,0.784349265681087,0.874750581572107
"g202",1747.66859973019,-0.34014933238342,0.647052708732567,-0.525690299712518,0.599103404664952,0.741727612187508
"g203",358.406890994649,-0.622294767624576,0.654462340732443,-0.950848855456118,0.34168110769996,0.51948651541303
"g204",4.75227745743999,5.61796783599995,2.18793623121106,2.56770181683509,0.010237517681224,0.0482625833543417
"g205",0,NA,NA,NA,NA,NA
"g206",0,NA,NA,NA,NA,NA
"g207",0,NA,NA,NA,NA,NA
"g208",501.284252483802,-0.624573984369095,0.651835624652212,-0.95817712433612,0.33797345031961,0.515226486700782
"g209",1628.70754194569,-2.06248516584751,0.648267408082018,-3.18153456449343,0.00146497040754301,0.0117651384499583
"g210",2.37613872871999,4.61797165985415,2.2349940207416,2.06621208692175,0.0388084580655006,0.124667878564396
"g211",20.6027255013175,-0.35812056230629,0.787671472299598,-0.454657271337708,0.649355825414038,0.779918616035457
"g212",60.2962466269977,-1.39237226489622,0.707684691153928,-1.96750372348152,0.0491251670749292,0.146407517637104
"g213",13.8478654312821,-1.66118848516534,0.904256103360236,-1.83707743745641,0.0661984644481634,0.179328676079726
"g214",0,NA,NA,NA,NA,NA
"g215",0,NA,NA,NA,NA,NA
"g216",9.69019276166219,-1.26209269834986,0.960870433468281,-1.31348895167302,0.189018241396253,0.357735253528884
"g217",15960.9401394566,1.80056897398221,0.645492602700514,2.78944943202952,0.00527977407938904,0.0296680803532233
"g218",0,NA,NA,NA,NA,NA
"g219",244.412189521139,-0.893167519130753,0.659339400388557,-1.35463999057905,0.175532285732605,0.337833354418255
"g220",0,NA,NA,NA,NA,NA
"g221",0,NA,NA,NA,NA,NA
"g222",0,NA,NA,NA,NA,NA
"g223",374.339024833129,-0.996439979545745,0.654658970811638,-1.52207488780055,0.127990317433243,0.281482257053423
